0_NG_PVA_etc	1_NG_poly()	2_OK_doped_etc	3_OK	4_OK_PP_etc	5_OK_copolymer_plastic_resin
TBAPF6					
PCBM					
PC70BM					
PC71BM					
HPLC					
NCOP					
CPCB					
TIPS					
TPE-NC					
CPO					
DIPEA					
DEAP					
DMPA					
t-Bu-P4					
PhMA					
APCN					
NP					
NPs					
NIPAM					
GPCMax					
COMPACT					
C60					
TIPA					
NVP					
AuPPh3Cl					
TBHP					
KPS					
APS					
DPE					
GPC					
GPC-MALS					
GPC-MLLS					
GPC-MALLS					
GPCLS					
GPC-LS					
HT-GPC					
PL-GPC					
DCP					
DCNP					
TPMA					
VPO					
CPDB					
AlPc					
EPR					
EPR-EMX					
NMEP					
CAN					
DPM					
DPM-K					
TPM-K					
PL					
PL-EMD					
CPL					
ICP					
DAP					
Az-DAP					
APTES					
mCPBA					
m-CPBA					
MCPBA					
4VP					
ZnTPP					
ZnTPPS4					
SiO2-Pd					
TPCA					
31P					
JPC					
PPh3					
VMP2					
VMP3					
LAMMPS					
α					
BPDA					
t-CNC-COOH.					
PCSA					
P2O5					
polyanion					
CPI					
CP					
P21/n					
P1a1					
TPPM					
207Pb					
GPCb					
odd-even					
TPA					
DPD					
ϕP0					
SVA					
MDPD					
DPD-VV					
χABN					
aAB					
Pd-C					
TEMPO-OH					
DPX300.					
GPC-1000					
DynaPro					
SPA400					
CPMG					
APTES					
lAPTmax					
DPI					
C60					
COMPOSITES					
TEMPERATURE					
CRP					
PARÍS					
CAB					
