&#x21;	&#33;	!	excl
&#x2212;	&#8722;	-	minus (oka: hyphen)
&#x2213;	&#8723;	∓	mnplus, mp, MinusPlus
&#x2214;	&#8724;	∔	plusdo, dotplus
&#x2216;	&#8726;	∖	setmn, setminus, Backslash, ssetmn, smallsetminus
&#x2217;	&#8727;	∗	asterisk operator
&#x2218;	&#8728;	∘	compfn, SmallCircle
&#x221a;	&#8730;	√	square root = radical sign
&#x221d;	&#8733;	∝	prop, propto, Proportional, vprop, varpropto
&#x221e;	&#8734;	∞	infinite
&#x221f;	&#8735;	∟	angrt
&#x2220;	&#8736;	∠	ang, angle
&#x2221;	&#8737;	∡	angmsd, measuredangle
&#x2222;	&#8738;	∡	angsph
&#x2223;	&#8739;	∣	mid, VerticalBar, smid, shortmid
&#x2224;	&#8740;	∤	nmid, NotVerticalBar, nsmid, nshortmid
&#x2225;	&#8741;	∥	par, parallel, DoubleVerticalBar, spar, shortparallel
&#x2226;	&#8742;	∦	npar, nparallel, NotDoubleVerticalBar, nspar, nshortparallel
&#x2227;	&#8743;	∧	logical and = wedge
&#x2228;	&#8744;	∨	logical or = vee
&#x2229;	&#8745;	∩	intersection = cap
&#x222a;	&#8746;	∪	union = cup
&#x222b;	&#8747;	∫	integral
&#x222c;	&#8748;	∬	int, Integral
&#x222d;	&#8749;	∭	tint, iiint
&#x222e;	&#8750;	∮	conint, oint, ContourIntegral
&#x222f;	&#8751;	∯	Conint, DoubleContourIntegral
&#x2230;	&#8752;	∰	Cconint
&#x2231;	&#8753;	∱	cwint
&#x2232;	&#8754;	∲	cwconint, ClockwiseContourIntegral
&#x2233;	&#8755;	∲	awconint, CounterClockwiseContourIntegral
&#x2234;	&#8756;	∴	therefore
&#x2235;	&#8757;	∵	becaus, because, Because
&#x2236;	&#8758;	∶	ratio
&#x2237;	&#8759;	∷	Colon, Proportion
&#x2238;	&#8760;	∸	minusd, dotminus
&#x223a;	&#8762;	∺	mDDot
&#x223b;	&#8763;	∻	homtht
&#x223c;	&#8764;	~	tilde operator
&#x223d;	&#8765;	∽	bsim, backsim
&#x223e;	&#8766;	∾	ac, mstpos
&#x223f;	&#8767;	∿	acd
&#x2240;	&#8768;	≀	wreath, VerticalTilde, wr
&#x2241;	&#8769;	≁	nsim, NotTilde
&#x2242;	&#8770;	≂	esim, EqualTilde, eqsim
&#x2243;	&#8771;	≃	sime, TildeEqual, simeq
&#x2244;	&#8772;	≄	nsime, nsimeq, NotTildeEqual
&#x2245;	&#8773;	≅	cong, TildeFullEqual
&#x2246;	&#8774;	≆	simne
&#x2247;	&#8775;	≇	ncong, NotTildeFullEqual
&#x2248;	&#8776;	≈	almost equal to
&#x2249;	&#8777;	≉	nap, NotTildeTilde, napprox
&#x224a;	&#8778;	≊	ape, approxeq
&#x224b;	&#8779;	≋	apid
&#x224c;	&#8780;	≌	bcong, backcong
&#x224d;	&#8781;	≍	asympeq, CupCap
&#x224e;	&#8782;	≎	bump, HumpDownHump, Bumpeq
&#x224f;	&#8783;	≏	bumpe, HumpEqual, Humpeq
&#x2250;	&#8784;	≐	esdot, DotEqual, doteq
&#x2251;	&#8785;	≑	edot, doteqdot
&#x2252;	&#8786;	≒	efdot, fallingdotseq
&#x2253;	&#8787;	≓	erdot, risingdotseq
&#x2254;	&#8788;	≔	colone, coloneq, Assign
&#x2255;	&#8789;	≕	ecolon, eqcolon
&#x2256;	&#8790;	≖	ecir, eqcirc
&#x2257;	&#8791;	≗	cire, circeq
&#x2259;	&#8793;	≙	wedgeq
&#x225a;	&#8794;	≚	veeeq
&#x225c;	&#8796;	≜	trie, triangleq
&#x225f;	&#8799;	≟	equest, questeq
&#x2260;	&#8800;	≠	not equal to
&#x2261;	&#8801;	≡	identical to
&#x2262;	&#8802;	≢	nequiv, NotCongruent
&#x2264;	&#8804;	≤	less than or equal to
&#x2265;	&#8805;	≥	greater than or equal to
&#x2266;	&#8806;	≦	lE, LessFullEqual, leqq
&#x2267;	&#8807;	≧	gE, GreaterFullEqual, geqq
&#x2268;	&#8808;	≨	lnE, lneqq
&#x2269;	&#8809;	≩	gnE, gneqq
&#x226a;	&#8810;	≪	Lt, NestedLessLess, ll
&#x226b;	&#8811;	≫	Gt, NestedGreaterGreater, gg
&#x226c;	&#8812;	≬	twixt, between
&#x226d;	&#8813;	≭	NotCupCap
&#x226e;	&#8814;	≮	nlt, NotLess, nless
&#x226f;	&#8815;	≯	ngt, NotGreater, ngtr
&#x2270;	&#8816;	≰	nle, NotLessEqual, nleq
&#x2271;	&#8817;	≱	nge, NotGreaterEqual, ngeq
&#x2272;	&#8818;	≲	lsim, LessTilde, lesssim
&#x2273;	&#8819;	≳	gsim, GreaterTilde, gtrsim
&#x2274;	&#8820;	≴	nlsim, NotLessTilde
&#x2275;	&#8821;	≵	ngsim, NotGreaterTilde
&#x2276;	&#8822;	≶	lg, lessgtr, LessGreater
&#x2277;	&#8823;	≷	gl, gtrless, GreaterLess
&#x2278;	&#8824;	≸	ntlg, NotLessGreater
&#x2279;	&#8825;	≹	ntgl, GreaterLess
&#x227a;	&#8826;	≺	pr, Precedes, prec
&#x227b;	&#8827;	≻	sc, Succeeds, succ
&#x227c;	&#8828;	≼	prcue, PrecedesSlantEqual, preccurlyeq
&#x227d;	&#8829;	≽	sccue, SucceedsSlantEqual, succcurlyeq
&#x227e;	&#8830;	≾	prsim, precsim, PrecedesTilde
&#x227f;	&#8831;	≿	sccue, SucceedsSlantEqual, succcurlyeq
&#x2280;	&#8832;	⊀	npr, nprec, NotPrecedes
&#x2281;	&#8833;	⊁	nsc, nsucc, NotSucceeds
&#x2282;	&#8834;	⊂	sub, subset
&#x2283;	&#8835;	⊃	sup, supset, Superset
&#x2284;	&#8836;	⊄	nsub
&#x2285;	&#8837;	⊅	nsup
&#x2286;	&#8838;	⊆	sube, SubsetEqual, subseteq
&#x2287;	&#8839;	⊇	supe, supseteq, SupersetEqual
&#x2288;	&#8840;	⊈	nsube, nsubseteq, NotSubsetEqual
&#x2289;	&#8841;	⊉	nsupe, nsupseteq, NotSupersetEqual
&#x228a;	&#8842;	⊊	subne, subsetneq
&#x228b;	&#8843;	⊋	supne, supsetneq
&#x228d;	&#8845;	⊍	cupdot
&#x228e;	&#8846;	⊎	uplus, UnionPlus
&#x228f;	&#8847;	⊏	sqsub, SquareSubset, sqsubset
&#x2290;	&#8848;	⊐	sqsup, SquareSuperset, sqsupset
&#x2291;	&#8849;	⊑	sqsube, SquareSubsetEqual, sqsubseteq
&#x2292;	&#8850;	⊒	sqsupe, SquareSupersetEqual, sqsupseteq
&#x2293;	&#8851;	⊓	sqcap, SquareIntersection
&#x2294;	&#8852;	⊔	sqcup, SquareUnion
&#x2295;	&#8853;	⊕	oplus, CirclePlus
&#x2296;	&#8854;	⊖	ominus, CircleMinus
&#x2297;	&#8855;	⊗	otimes, CircleTimes
&#x2298;	&#8856;	⊘	osol
&#x2299;	&#8857;	⊙	odot, CircleDot
&#x229a;	&#8858;	⊚	ocr, circledcirc
&#x229b;	&#8859;	⊛	oast, circledast
&#x229d;	&#8861;	⊝	odash, circleddash
&#x229e;	&#8862;	⊞	plusb, boxplus
&#x229f;	&#8863;	⊟	minusb, boxminus
&#x22a0;	&#8864;	⊠	timesb, boxtimes
&#x22a1;	&#8865;	⊡	sdotb, dotsquare
&#x22a2;	&#8866;	⊢	vdash, RightTee
&#x22a3;	&#8867;	⊣	dashv, LeftTee
&#x22a4;	&#8868;	⊤	top, DownTee
&#x22a5;	&#8869;	⊥	up tack = orthogonal to = per
&#x22a7;	&#8871;	⊧	models
&#x22a8;	&#8872;	⊨	vDash, DoubleRightTee
&#x22a9;	&#8873;	⊩	Vdash
&#x22aa;	&#8874;	⊪	Vvdash
&#x22ab;	&#8875;	⊫	VDash
&#x22ac;	&#8876;	⊬	nvdash
&#x22ad;	&#8877;	⊭	nvDash
&#x22ae;	&#8878;	⊮	nVdash
&#x22af;	&#8879;	⊯	nVDash
&#x22b0;	&#8880;	⊰	prurel
&#x22b2;	&#8882;	⊲	vltri, vartriangleleft, LeftTriangle
&#x22b3;	&#8883;	⊳	vrtri, vartriangleright, RightTriangle;
&#x22b4;	&#8884;	⊴	ltrie, trianglelefteq, LeftTriangleEqual
&#x22b5;	&#8885;	⊵	rtrie, trianglerighteq, RightTriangleEqual
&#x22b6;	&#8886;	⊶	origof
&#x22b7;	&#8887;	⊷	imof
&#x22b8;	&#8888;	⊸	mmap, multimap
&#x22b9;	&#8889;	⊹	hercon
&#x22ba;	&#8890;	⊺	intcal, intercal
&#x22bb;	&#8891;	⊻	veebar
&#x22bd;	&#8893;	⊽	barvee
&#x22be;	&#8894;	⊾	angrtvb
&#x22bf;	&#8895;	⊿	lrtri
&#x22c0;	&#8896;	⋀	xwedge, Wedge, bigwedge
&#x22c1;	&#8897;	⋁	xvee, Vee, bigvee
&#x22c2;	&#8898;	⋂	xcap, Intersection, bigcap
&#x22c3;	&#8899;	⋃	xcup, Union, bigcup
&#x22c4;	&#8900;	⋄	diam, diamond, Diamond
&#x22c5;	&#8901;	⋅	sdot
&#x22c6;	&#8902;	⋆	sstarf, Star
&#x22c7;	&#8903;	⋇	divonx, divideontimes
&#x22c8;	&#8904;	⋈	bowtie
&#x22c9;	&#8905;	⋉	ltimes
&#x22ca;	&#8906;	⋊	rtimes
&#x22cb;	&#8907;	⋋	lthree, leftthreetimes
&#x22cc;	&#8908;	⋌	rthree, rightthreetimes
&#x22cd;	&#8909;	⋍	bsime, backsimeq
&#x22ce;	&#8910;	⋎	cuvee, curlyvee
&#x22cf;	&#8911;	⋏	cuwed, curlywedge
&#x22d0;	&#8912;	⋐	Sub, Subset
&#x22d1;	&#8913;	⋑	Sup, Supset
&#x22d2;	&#8914;	⋒	Cap
&#x22d3;	&#8915;	⋓	Cup
&#x22d4;	&#8916;	⋔	fork, pitchfork
&#x22d5;	&#8917;	⋕	epar
&#x22d6;	&#8918;	⋖	ltdot, lessdot
&#x22d7;	&#8919;	⋗	gtdot, gtrdot
&#x22d8;	&#8920;	⋘	Ll, lll
&#x22d9;	&#8921;	⋙	Gg, ggg
&#x22da;	&#8922;	⋚	leg, LessEqualGreater, lesseqgtr
&#x22db;	&#8923;	⋛	gel, gtreqless, GreaterEqualLess
&#x22de;	&#8926;	⋞	cuepr, curlyeqprec
&#x22df;	&#8927;	⋟	cuesc, curlyeqsucc
&#x22e0;	&#8928;	⋠	nprcue, NotPrecedesSlantEqual
&#x22e1;	&#8929;	⋡	nsccue, NotSucceedsSlantEqual
&#x22e2;	&#8930;	⋢	nsqsube, NotSquareSubsetEqual
&#x22e3;	&#8931;	⋣	nsqsupe, NotSquareSupersetEqual
&#x22e6;	&#8934;	⋦	lnsim
&#x22e7;	&#8935;	⋧	gnsim
&#x22e8;	&#8936;	⋨	prnsim, precnsim
&#x22e9;	&#8937;	⋩	scnsim, succnsim
&#x22ea;	&#8938;	⋪	nltri, ntriangleleft, NotLeftTriangle
&#x22eb;	&#8939;	⋫	nrtri, ntriangleright, NotRightTriangle
&#x22ec;	&#8940;	⋬	nltrie, ntrianglelefteq, NotLeftTriangleEqual
&#x22ed;	&#8941;	⋭	nrtrie, ntrianglerighteq, NotRightTriangleEqual
&#x22ee;	&#8942;	⋮	vellip
&#x22ef;	&#8943;	⋯	ctdot
&#x22f0;	&#8944;	⋰	utdot
&#x22f1;	&#8945;	⋱	dtdot
&#x22f2;	&#8946;	⋲	disin
&#x22f3;	&#8947;	⋳	isinsv
&#x22f4;	&#8948;	⋴	isins
&#x22f5;	&#8949;	⋵	isindot
&#x22f6;	&#8950;	⋶	notinvc
&#x22f7;	&#8951;	⋷	notinvb
&#x22f9;	&#8953;	⋹	isinE
&#x22fa;	&#8954;	⋺	nisd
&#x22fb;	&#8955;	⋻	xnis
&#x22fc;	&#8956;	⋼	nis
&#x22fd;	&#8957;	⋽	notnivc
&#x22fe;	&#8958;	⋾	notnivb
&#x2305;	&#8965;	⌅	barwed, barwedge
&#x2306;	&#8966;	⌆	Barwed, doublebarwedge
&#x2308;	&#8968;	⌈	lceil, LeftCeiling
&#x2309;	&#8969;	⌉	rceil, RightCeiling
&#x230a;	&#8970;	⌊	lfloor, LeftFloor
&#x230b;	&#8971;	⌋	rfloor, RightFloor
&#x230c;	&#8972;	⌌	drcrop
&#x230d;	&#8973;	⌍	dlcrop
&#x230e;	&#8974;	⌎	urcrop
&#x230f;	&#8975;	⌏	ulcrop
&#x2310;	&#8976;	⌐	bnot
&#x2312;	&#8978;	⌒	profline
&#x2313;	&#8979;	⌓	profsurf
&#x2315;	&#8981;	⌕	telrec
&#x2316;	&#8982;	⌖	target
&#x231c;	&#8982;	⌜	ulcorn, ulcorner
&#x231d;	&#8983;	⌝	urcorn, urcorner
&#x231e;	&#8984;	⌞	dlcorn, dlcorner
&#x231f;	&#8985;	⌟	drcorn, drcorner
&#x2322;	&#8994;	⌢	frown, sfrown
&#x2323;	&#8995;	⌣	smile, ssmile
&#x232d;	&#9005;	⌭	cylcty
&#x232e;	&#9006;	⌮	profalar
&#x2336;	&#9014;	⌶	topbot
&#x233d;	&#9021;	⌽	ovbar
&#x233f;	&#9023;	⌿	solbar
&#x237c;	&#9023;	⍼	angzarr
&#x23b0;	&#9136;	⎰	lmoust, lmoustache
&#x23b1;	&#9137;	⎱	rmoust, rmoustache
&#x23b4;	&#9140;	⎴	tbrk, OverBracket
&#x23b5;	&#9141;	⎵	bbrk, UnderBracket
&#x23b6;	&#9142;	⎶	bbrktbrk
&#x23dc;	&#9180;	⏜	OverParenthesis
&#x23dd;	&#9181;	⏝	UnderParenthesis
&#x23de;	&#9182;	⏞	OverBrace
&#x23df;	&#9183;	⏟	UnderBrace
&#x23e2;	&#9186;	⏢	trpezium
&#x23e7;	&#9191;	⏧	elinters
&#x2423;	&#9251;	␣	blank
&#x24c5;	&#9413;	℗	circled latin capital letter P
&#x24c8;	&#9416;	Ⓢ	oS, circledS
&#x2500;	&#9472;	─	boxh, HorizontalLine
&#x2502;	&#9474;	│	boxv
&#x250c;	&#9484;	┌	boxdr
&#x2510;	&#9488;	┐	boxdl
&#x2514;	&#9492;	└	boxur
&#x2518;	&#9496;	┘	boxul
&#x251c;	&#9500;	├	boxvr
&#x2524;	&#9508;	┤	boxvl
&#x252c;	&#9516;	┬	boxhd
&#x2534;	&#9524;	┴	boxhu
&#x253c;	&#9532;	┼	boxvh
&#x2550;	&#9552;	═	boxH
&#x2551;	&#9553;	║	boxV
&#x2552;	&#9554;	╒	boxdR
&#x2553;	&#9555;	╓	boxDr
&#x2554;	&#9556;	╔	boxDR
&#x2555;	&#9557;	╕	boxdL
&#x2556;	&#9558;	╖	boxDl
&#x2557;	&#9559;	╗	boxDL
&#x2558;	&#9560;	╘	boxuR
&#x2559;	&#9561;	╙	boxUr
&#x255a;	&#9562;	╚	boxUR
&#x255b;	&#9563;	╛	boxuL
&#x255c;	&#9564;	╜	boxUl
&#x255d;	&#9565;	╝	boxUL
&#x255e;	&#9566;	╞	boxvR
&#x255f;	&#9567;	╟	boxVr
&#x2560;	&#9568;	╠	boxVR
&#x2561;	&#9569;	╡	boxvL
&#x2562;	&#9570;	╢	boxVl
&#x2563;	&#9571;	╣	boxVL
&#x2564;	&#9572;	╤	boxHd
&#x2565;	&#9573;	╥	boxhD
&#x2566;	&#9574;	╦	boxHD
&#x2567;	&#9575;	╧	boxHu
&#x2568;	&#9576;	╨	boxhU
&#x2569;	&#9577;	╩	boxHU
&#x256a;	&#9578;	╪	boxvH
&#x256b;	&#9579;	╫	boxVh
&#x256c;	&#9580;	╬	boxVH
&#x2580;	&#9600;	▀	uhblk
&#x2584;	&#9604;	▄	lhblk
&#x2588;	&#9608;	█	block
&#x2591;	&#9617;	░	blk14
&#x2592;	&#9618;	▒	blk12
&#x2593;	&#9619;	▓	blk34
&#x25a1;	&#9633;	□	white square
&#x25aa;	&#9642;	▪	squf, squaref, blacksquare, FilledVerySmallSquare
&#x25ab;	&#9643;	▫	EmptyVerySmallSquare
&#x25ad;	&#9645;	▭	rect
&#x25ae;	&#9646;	▮	marker
&#x25b1;	&#9649;	▱	fltns
&#x25b3;	&#9651;	△	xutri, bigtriangleup
&#x25b4;	&#9652;	▴	utrif, blacktriangle
&#x25b5;	&#9653;	▵	utri, triangle
&#x25b8;	&#9656;	▸	rtrif, blacktriangleright
&#x25b9;	&#9657;	▹	rtri, triangleright
&#x25bd;	&#9661;	▽	xdtri, bigtriangledown
&#x25be;	&#9662;	▾	dtrif, blacktriangledown
&#x25bf;	&#9663;	▿	dtri, triangledown
&#x25c2;	&#9666;	◂	ltrif, blacktriangleleft
&#x25c3;	&#9667;	◃	ltri, triangleleft
&#x25ca;	&#9674;	◊	loz, lozenge
&#x25cb;	&#9675;	○	cir
&#x25ec;	&#9708;	◬	tridot
&#x25ef;	&#9711;	◯	xcirc, bigcirc
&#x25f8;	&#9720;	◸	ultri
&#x25f9;	&#9721;	◹	urtri
&#x25fa;	&#9722;	◺	lltri
&#x25fb;	&#9723;	◻	EmptySmallSquare
&#x25fc;	&#9724;	◼	FilledSmallSquare
&#x2605;	&#9733;	★	starf, bigstar
&#x2606;	&#9734;	☆	star
&#x260e;	&#9742;	☎	phone
&#x2640;	&#9792;	♀	female
&#x2642;	&#9794;	♂	male
&#x2660;	&#9824;	♠	spades, spadesuit
&#x2663;	&#9827;	♣	clubs, clubsuit
&#x2665;	&#9829;	♥	hearts, heartsuit
&#x2666;	&#9830;	♦	diams, diamondsuit
&#x266a;	&#9834;	♪	sung
&#x266d;	&#9837;	♭	flat
&#x266e;	&#9838;	♮	natur, natural
&#x266f;	&#9839;	♯	sharp
&#x2713;	&#10003;	✓	check, checkmark
&#x2717;	&#10007;	✗	cross
&#x2720;	&#10016;	✠	malt, Maltese
&#x2736;	&#10038;	✶	sext
&#x2758;	&#10072;	❘	VerticalSeparator
&#x2772;	&#10098;	❲	lbbrk
&#x2773;	&#10099;	❳	rbbrk
&#x27e6;	&#10214;	⟦	lobrk, LeftDoubleBracket
&#x27e7;	&#10215;	⟧	robrk, RightDoubleBracket
&#x27e8;	&#10216;	<	mathematical left angle bracket (oka: keyboard left bracket)
&#x27e9;	&#10217;	>	mathematical right angle bracket (oka: keyboard right bracket)
&#x27ea;	&#10218;	⟪	Lang
&#x27eb;	&#10219;	⟫	Rang
&#x27ec;	&#10220;	⟬	loang
&#x27ed;	&#10221;	⟭	roang
&#x27f5;	&#10229;	⟵	xlarr, longleftarrow, LongLeftArrow
&#x27f6;	&#10230;	⟶	xrarr, longrightarrow, LongRightArrow
&#x27f7;	&#10231;	⟷	xharr, longleftrightarrow, LongLeftRightArrow
&#x27f8;	&#10232;	⟸	xlArr, Longleftarrow, DoubleLongLeftArrow
&#x27f9;	&#10233;	⟹	xrArr, Longrightarrow, DoubleLongRightArrow
&#x27fa;	&#10234;	⟺	xhArr, Longleftrightarrow, DoubleLongLeftRightArrow
&#x27fc;	&#10236;	⟼	xmap, longmapsto
&#x27ff;	&#10239;	⟿	dzigrarr
&#x2902;	&#10498;	⤂	nvlArr
&#x2903;	&#10499;	⤃	nvrArr
&#x2904;	&#10500;	⤄	nvHArr
&#x2905;	&#10501;	⤅	Map
&#x290c;	&#10508;	⤌	lbarr
&#x290d;	&#10509;	⤍	rbarr, bkarow
&#x290e;	&#10510;	⤎	lBarr
&#x290f;	&#10511;	⤏	rBarr, dbkarow
&#x2910;	&#10512;	⤐	RBarr, drbkarow
&#x2911;	&#10513;	⤑	DDotrahd
&#x2912;	&#10514;	⤒	UpArrowBar
&#x2913;	&#10515;	⤓	DownArrowBar
&#x2916;	&#10518;	⤖	Rarrtl
&#x2919;	&#10521;	⤙	latail
&#x291a;	&#10522;	⤚	ratail
&#x291b;	&#10523;	⤛	lAtail
&#x291c;	&#10524;	⤜	rAtail
&#x291d;	&#10525;	⤝	larrfs
&#x291e;	&#10526;	⤞	rarrfs
&#x291f;	&#10527;	⤟	larrbfs
&#x2920;	&#10528;	⤠	rarrbfs
&#x2923;	&#10531;	⤣	nwarhk
&#x2924;	&#10532;	⤤	nearhk
&#x2925;	&#10533;	⤥	searhk, hksearow
&#x2926;	&#10534;	⤦	swarhk, hkswarow
&#x2927;	&#10535;	⤧	nwnear
&#x2928;	&#10536;	⤨	nesear, toea
&#x2929;	&#10537;	⤩	seswar, tosa
&#x292a;	&#10538;	⤪	swnwar
&#x2933;	&#10547;	⤳	rarrc
&#x2935;	&#10549;	⤵	cudarrr
&#x2936;	&#10550;	⤶	ldca
&#x2937;	&#10551;	⤷	rdca
&#x2938;	&#10552;	⤸	cudarrl
&#x2939;	&#10553;	⤹	larrpl
&#x293c;	&#10556;	⤼	curarrm
&#x293d;	&#10557;	⤽	cularrp
&#x2945;	&#10565;	⥅	rarrpl
&#x2948;	&#10568;	⥈	harrcir
&#x2949;	&#10569;	⥉	Uarrocir
&#x294a;	&#10570;	⥊	lurdshar
&#x294b;	&#10571;	⥋	ldrushar
&#x294e;	&#10574;	⥎	LeftRightVector
&#x294f;	&#10575;	⥏	RightUpDownVector
&#x2950;	&#10576;	⥐	DownLeftRightVector
&#x2951;	&#10577;	⥑	LeftUpDownVector
&#x2952;	&#10578;	⥒	LeftVectorBar
&#x2953;	&#10579;	⥓	RightVectorBar
&#x2954;	&#10580;	⥔	RightUpVectorBar
&#x2955;	&#10581;	⥕	RightDownVectorBar
&#x2956;	&#10582;	⥖	DownLeftVectorBar
&#x2957;	&#10583;	⥗	DownRightVectorBar
&#x2958;	&#10584;	⥘	LeftUpVectorBar
&#x2959;	&#10585;	⥙	LeftDownVectorBar
&#x295a;	&#10586;	⥚	LeftTeeVector
&#x295b;	&#10587;	⥛	RightTeeVector
&#x295c;	&#10588;	⥜	RightUpTeeVector
&#x295d;	&#10589;	⥝	RightDownTeeVector
&#x295e;	&#10590;	⥞	DownLeftTeeVector
&#x295f;	&#10591;	⥟	DownRightTeeVector
&#x2960;	&#10592;	⥠	LeftUpTeeVector
&#x2961;	&#10593;	⥡	LeftDownTeeVector
&#x2962;	&#10594;	⥢	lHar
&#x2963;	&#10595;	⥣	uHar
&#x2964;	&#10596;	⥤	rHar
&#x2965;	&#10597;	⥥	dHar
&#x2966;	&#10598;	⥦	luruhar
&#x2967;	&#10599;	⥧	ldrdhar
&#x2968;	&#10600;	⥨	ruluhar
&#x2969;	&#10601;	⥩	rdldhar
&#x296a;	&#10602;	⥪	lharul
&#x296b;	&#10603;	⥫	llhard
&#x296c;	&#10604;	⥬	rharul
&#x296d;	&#10605;	⥫	lrhard
&#x296e;	&#10606;	⥮	udhar, UpEquilibrium
&#x296f;	&#10607;	⥯	duhar, ReverseUpEquilibrium
&#x2970;	&#10608;	⥰	RoundImplies
&#x2971;	&#10609;	⥱	erarr
&#x2972;	&#10610;	⥲	simrarr
&#x2973;	&#10611;	⥳	larrsim
&#x2974;	&#10612;	⥴	rarrsim
&#x2975;	&#10613;	⥵	rarrap
&#x2976;	&#10614;	⥶	ltlarr
&#x2978;	&#10616;	⥸	gtrarr
&#x2979;	&#10617;	⥹	subrarr
&#x297b;	&#10619;	⥻	suprarr
&#x297c;	&#10620;	⥼	lfisht
&#x297d;	&#10621;	⥽	rfisht
&#x297e;	&#10622;	⥾	ufisht
&#x297f;	&#10623;	⥿	dfisht
&#x2985;	&#10629;	⦅	lopar
&#x2986;	&#10630;	⦆	ropar
&#x298b;	&#10635;	⦋	lbrke
&#x298c;	&#10636;	⦌	rbrke
&#x298d;	&#10637;	⦍	lbrkslu
&#x298e;	&#10638;	⦎	rbrksld
&#x298f;	&#10639;	⦏	lbrksld
&#x2990;	&#10640;	⦐	rbrkslu
&#x2991;	&#10641;	⦑	langd
&#x2992;	&#10642;	⦒	rangd
&#x2993;	&#10643;	⦓	lparlt
&#x2994;	&#10644;	⦔	rpargt
&#x2995;	&#10645;	⦕	gtlPar
&#x2996;	&#10646;	⦖	ltrPar
&#x299a;	&#10650;	⦚	vzigzag
&#x299c;	&#10652;	⦜	vangrt
&#x299d;	&#10653;	⦝	angrtvbd
&#x29a4;	&#10660;	⦤	ange
&#x29a5;	&#10661;	⦥	range
&#x29a6;	&#10662;	⦦	dwangle
&#x29a7;	&#10663;	⦧	uwangle
&#x29a8;	&#10664;	⦨	angmsdaa
&#x29a9;	&#10665;	⦩	angmsdab
&#x29aa;	&#10666;	⦪	angmsdac
&#x29ab;	&#10667;	⦫	angmsdad
&#x29ac;	&#10668;	⦬	angmsdae
&#x29ad;	&#10669;	⦭	angmsdaf
&#x29ae;	&#10670;	⦮	angmsdag
&#x29af;	&#10671;	⦯	angmsdah
&#x29b0;	&#10672;	⦰	bemptyv
&#x29b1;	&#10673;	⦱	demptyv
&#x29b2;	&#10674;	⦲	cemptyv
&#x29b3;	&#10675;	⦳	raemptyv
&#x29b4;	&#10676;	⦳	laemptyv
&#x29b5;	&#10677;	⦵	ohbar
&#x29b6;	&#10678;	⦶	omid
&#x29b7;	&#10679;	⦶	opar
&#x29b9;	&#10681;	⦹	operp
&#x29bb;	&#10683;	⦻	olcross
&#x29bc;	&#10684;	⦼	odsold
&#x29be;	&#10686;	⦾	olcir
&#x29bf;	&#10687;	⦿	ofcir
&#x29c0;	&#10688;	⧀	olt
&#x29c1;	&#10689;	⧁	ogt
&#x29c2;	&#10690;	⧂	cirscir
&#x29c3;	&#10691;	⧃	cirE
&#x29c4;	&#10692;	⧄	solb
&#x29c5;	&#10693;	⧅	bsolb
&#x29c9;	&#10697;	⧉	boxbox
&#x29cd;	&#10701;	⧍	trisb
&#x29ce;	&#10702;	⧎	rtriltri
&#x29cf;	&#10703;	⧏	LeftTriangleBar
&#x29d0;	&#10704;	⧐	RightTriangleBar
&#x29da;	&#10714;	⧚	race
&#x29dc;	&#10716;	⧜	iinfin
&#x29dd;	&#10717;	⧝	infintie
&#x29de;	&#10718;	⧞	nvinfin
&#x29e3;	&#10723;	⧣	eparsl
&#x29e4;	&#10724;	⧤	smeparsl
&#x29e5;	&#10725;	⧥	eqvparsl
&#x29eb;	&#10731;	⧫	lozf, blacklozenge
&#x29f4;	&#10740;	⧴	RuleDelayed
&#x29f6;	&#10742;	⧶	dsol
&#x2a00;	&#10752;	⨀	xodot, bigodot
&#x2a01;	&#10753;	⨁	xoplus, bigoplus
&#x2a02;	&#10754;	⨂	xotime, bigotimes
&#x2a04;	&#10756;	⨄	xuplus, biguplus
&#x2a06;	&#10758;	⨆	xsqcup, bigsqcup
&#x2a0c;	&#10764;	⨌	qint, iiiint
&#x2a0d;	&#10765;	⨍	fpartint
&#x2a10;	&#10768;	⨐	cirfnint
&#x2a11;	&#10769;	⨑	awint
&#x2a12;	&#10770;	⨒	rppolint
&#x2a13;	&#10771;	⨓	scpolint
&#x2a14;	&#10772;	⨔	npolint
&#x2a15;	&#10773;	⨕	pointint
&#x2a16;	&#10774;	⨖	quatint
&#x2a17;	&#10775;	⨗	intlarhk
&#x2a22;	&#10786;	⨢	pluscir
&#x2a23;	&#10787;	⨣	plusacir
&#x2a24;	&#10788;	⨤	simplus
&#x2a25;	&#10789;	⨥	plusdu
&#x2a26;	&#10790;	⨦	plussim
&#x2a27;	&#10791;	⨧	plustwo
&#x2a29;	&#10793;	⨩	mcomma
&#x2a2a;	&#10794;	⨪	minusdu
&#x2a2d;	&#10797;	⨭	loplus
&#x2a2e;	&#10798;	⨮	roplus
&#x2a2f;	&#10799;	⨯	Cross
&#x2a30;	&#10800;	⨰	timesd
&#x2a31;	&#10801;	⨱	timesbar
&#x2a33;	&#10803;	⨳	smashp
&#x2a34;	&#10804;	⨴	lotimes
&#x2a35;	&#10805;	⨵	rotimes
&#x2a36;	&#10806;	⨶	otimesas
&#x2a37;	&#10807;	⨷	Otimes
&#x2a38;	&#10808;	⨸	odiv
