&#x21;	&#33;	!	excl
&#x204f;	&#8271;	⁏	bsemi
&#x2057;	&#8279;	⁗	qprime
&#x205f;	&#8287;	 	MediumSpace
&#x2060;	&#8288;	 	NoBreak
&#x2061;	&#8289;	 	ApplyFunction, af
&#x2062;	&#8290;	 	InvisibleTimes, it
&#x2063;	&#8291;	 	InvisibleComma, ic
&#x20ac;	&#8364;	€	euro
&#x20db;	&#8411;	⃛	tdot, TripleDot
&#x20dc;	&#8412;	⃜	DotDot
&#x2102;	&#8450;	ℂ	Copf, complexes
&#x2105;	&#8453;	℅	incare
&#x210a;	&#8458;	ℊ	gscr
&#x210b;	&#8459;	ℋ	hamilt, HilbertSpace, Hscr
&#x210c;	&#8460;	ℌ	Hfr, PoincarePlane
&#x210d;	&#8461;	ℍ	quaternions, Hopf
&#x210e;	&#8462;	ℎ	planckh
&#x210f;	&#8463;	ℏ	planck, hbar, plankv, hslash
&#x2110;	&#8464;	ℐ	Iscr, imagline
&#x2111;	&#8465;	ℑ	image, Im, imagpart, Ifr
&#x2112;	&#8466;	ℒ	Lscr, lagram, Laplacetrf
&#x2113;	&#8467;	ℓ	ell
&#x2115;	&#8469;	ℕ	Nopf, naturals
&#x2116;	&#8470;	№	numero
&#x2117;	&#8471;	℗	copysr
&#x2118;	&#8472;	℘	weierp, wp
&#x2119;	&#8473;	ℙ	Popf, primes
&#x211a;	&#8474;	ℚ	rationals, Qopf
&#x211b;	&#8475;	ℛ	Rscr, realine
&#x211c;	&#8476;	ℜ	real, Re, realpart, Rfr
&#x211d;	&#8477;	ℝ	reals, Ropf
&#x211e;	&#8478;	℞	rx
&#x2122;	&#8482;	™	trade mark sign
&#x2124;	&#8484;	ℤ	integers, Zopf
&#x2126;	&#8486;	Ω	ohm
&#x2127;	&#8487;	℧	mho
&#x2128;	&#8488;	ℨ	Zfr, zeetrf
&#x2129;	&#8489;	℩	iiota
&#x212b;	&#8491;	Å	angst
&#x212c;	&#8492;	ℬ	bernou, Bernoullis, Bscr
&#x212d;	&#8493;	ℭ	Cfr, Cayleys
&#x212f;	&#8495;	ℯ	escr
&#x2130;	&#8496;	ℰ	Escr, expectation
&#x2131;	&#8497;	ℱ	Fscr, Fouriertrf
&#x2133;	&#8499;	ℳ	phmmat, Mscr, Mellintrf
&#x2134;	&#8500;	ℴ	order, orderof, oscr
&#x2135;	&#8501;	ℵ	alefsym, aleph
&#x2136;	&#8502;	ℶ	beth
&#x2137;	&#8503;	ℷ	gimel
&#x2138;	&#8504;	ℸ	daleth
&#x2145;	&#8517;	ⅅ	CapitalDifferentialD, DD
&#x2146;	&#8518;	ⅆ	DifferentialD, dd
&#x2147;	&#8519;	ⅇ	ExponentialE, exponentiale, ee
&#x2148;	&#8520;	ⅈ	ImaginaryI, ii
&#x2153;	&#8531;	⅓	frac13
&#x2154;	&#8532;	⅔	frac23
&#x2155;	&#8533;	⅕	frac15
&#x2156;	&#8534;	⅖	frac25
&#x2157;	&#8535;	⅗	frac35
&#x2158;	&#8536;	⅘	frac45
&#x2159;	&#8537;	⅙	frac16
&#x215a;	&#8538;	⅚	frac56
&#x215b;	&#8539;	⅛	frac18
&#x215c;	&#8540;	⅜	frac38
&#x215d;	&#8541;	⅝	frac58
&#x215e;	&#8542;	⅞	frac78
&#x2190;	&#8592;	←	leftwards arrow
&#x2191;	&#8593;	↑	upwards arrow
&#x2192;	&#8594;	→	rightward arrow
&#x2193;	&#8595;	↓	downwards arrow
&#x2194;	&#8596;	↔	harr, leftrightarrow, LeftRightArrow
&#x2195;	&#8597;	↕	varr, updownarrow, UpDownArrow
&#x2196;	&#8598;	↖	nwarr, UpperLeftArrow, nwarrow
&#x2197;	&#8599;	↗	nearr, UpperRightArrow, nearrow
&#x2198;	&#8600;	↘	searr, searrow, LowerRightArrow
&#x2199;	&#8601;	↙	swarr, swarrow, LowerLeftArrow
&#x219a;	&#8602;	↚	nlarr, nleftarrow
&#x219b;	&#8603;	↛	nrarr, nrightarrow
&#x219d;	&#8605;	↝	rarrw, rightsquigarrow
&#x219e;	&#8606;	↞	Larr, twoheadleftarrow
&#x219f;	&#8607;	↟	Uarr
&#x21a0;	&#8608;	↠	Rarr, twoheadrightarrow
&#x21a1;	&#8609;	↡	Darr
&#x21a2;	&#8610;	↢	larrtl, leftarrowtail
&#x21a3;	&#8611;	↣	rarrtl, rightarrowtail
&#x21a4;	&#8612;	↤	LeftTeeArrow, mapstoleft
&#x21a5;	&#8613;	↥	UpTeeArrow, mapstoup
&#x21a6;	&#8614;	↦	map, RightTeeArrow, mapsto
&#x21a7;	&#8615;	↧	DownTeeArrow, mapstodown
&#x21a9;	&#8617;	↩	larrhk, hookleftarrow
&#x21aa;	&#8618;	↪	rarrhk, hookrightarrow
&#x21ab;	&#8619;	↫	larrlp, looparrowleft
&#x21ac;	&#8620;	↬	rarrlp, looparrowright
&#x21ad;	&#8621;	↭	harrw, leftrightsquigarrow
&#x21ae;	&#8622;	↮	nharrow, nleftrightarrow
&#x21b0;	&#8624;	↰	lsh, Lsh
&#x21b1;	&#8625;	↱	rsh, Rsh
&#x21b2;	&#8626;	↲	ldsh
&#x21b3;	&#8627;	↳	rdsh
&#x21b5;	&#8629;	↵	crarr
&#x21b6;	&#8630;	↶	cularr, curvearrowleft
&#x21b7;	&#8631;	↷	curarr, curvearrowright
&#x21ba;	&#8634;	↺	olarr, circlearrowleft
&#x21bb;	&#8635;	↻	orarr, circlearrowright
&#x21bc;	&#8636;	↼	lharu, LeftVector, leftharpoonup
&#x21bd;	&#8637;	↽	lhard, leftharpoondown, DownLeftVector
&#x21be;	&#8638;	↾	uharr, upharpoonright, RightUpVector
&#x21bf;	&#8639;	↿	uharl, upharpoonleft, LeftUpVector
&#x21c0;	&#8640;	⇀	rharu, RightVector, rightharpoonup
&#x21c1;	&#8641;	⇁	rhard, rightharpoondown, DownRightVector
&#x21c2;	&#8642;	⇂	dharr, RightDownVector, downharpoonright
&#x21c3;	&#8643;	⇃	dharl, LeftDownVector, downharpoonleft
&#x21c4;	&#8644;	⇄	rlarr, rightleftarrows, RightArrowLeftArrow
&#x21c5;	&#8645;	⇅	udarr, UpArrowDownArrow
&#x21c6;	&#8646;	⇆	lrarr, leftrightarrows, LeftArrowRightArrow
&#x21c7;	&#8647;	⇇	llarr, leftleftarrows
&#x21c8;	&#8648;	⇈	uuarr, upuparrows
&#x21c9;	&#8649;	⇉	rrarr, rightrightarrows
&#x21ca;	&#8650;	⇉	ddarr, downdownarrows
&#x21cb;	&#8651;	⇋	lrhar, ReverseEquilibrium, leftrightharpoons
&#x21cc;	&#8652;	⇌	rlhar, Equilibrium, rightleftharpoons
